fips,cbsa,treatedsid
53027,10140,0
36001,10580,0
36083,10580,0
36091,10580,0
36093,10580,0
37167,10620,0
34041,10900,0
36057,11220,0
12027,11580,0
37021,11700,1
37087,11700,1
37089,11700,1
34001,12100,0
36011,12180,0
36037,12860,0
36007,13780,0
37189,14380,0
53035,14740,0
37175,14820,0
36029,15380,1
36063,15380,1
37001,15500,0
12071,15980,0
53041,16500,0
37025,16740,1
37071,16740,1
37097,16740,1
37109,16740,1
37119,16740,1
37159,16740,1
36101,18500,0
36023,18660,0
12091,18880,0
37099,19000,0
12127,19660,0
37037,20500,1
37063,20500,1
37135,20500,1
37145,20500,1
37139,21020,0
53037,21260,0
36015,21300,0
4005,22380,0
37161,22580,0
12001,23540,1
36113,24020,0
36035,24100,0
37191,24140,0
37081,24660,0
37151,24660,0
37157,24660,0
37147,24780,1
37181,25780,0
37023,25860,0
37027,25860,0
37035,25860,0
12017,26140,0
36021,26460,0
36109,27060,0
12003,27260,0
12019,27260,0
12031,27260,0
12089,27260,0
37133,27340,0
36013,27460,0
53005,28420,0
53021,28420,0
12087,28580,0
37055,28620,0
36111,28740,0
37107,28820,0
12023,29380,0
4015,29420,0
12105,29460,0
37165,29900,0
53003,30300,0
53015,31020,0
37155,31300,0
36033,31660,0
37111,32000,0
12011,33100,1
12086,33100,1
12099,33100,1
37031,33980,0
53025,34180,0
37171,34340,0
53057,34580,0
37019,34820,0
12021,34940,1
37049,35100,0
34003,35620,1
34013,35620,1
34017,35620,1
34019,35620,1
34023,35620,1
34025,35620,1
34027,35620,1
34029,35620,1
34031,35620,1
34035,35620,1
34037,35620,1
34039,35620,1
36005,35620,1
36027,35620,1
36047,35620,1
36059,35620,1
36061,35620,1
36071,35620,1
36079,35620,1
36081,35620,1
36085,35620,1
36087,35620,1
36103,35620,1
36119,35620,1
12081,35840,0
12115,35840,0
37193,35900,0
53029,36020,0
12083,36100,0
34009,36140,0
36089,36300,0
12093,36380,0
36009,36460,0
53067,36500,0
36077,36580,0
12069,36740,1
12095,36740,1
12097,36740,1
12117,36740,1
37077,37080,0
12107,37260,0
12009,37340,0
12005,37460,0
12045,37460,0
4007,37740,0
12033,37860,1
12113,37860,1
34005,37980,0
34007,37980,0
34015,37980,0
34033,37980,0
4013,38060,0
4021,38060,0
37125,38240,0
36019,38460,0
53009,38820,0
53011,38900,1
12085,38940,1
12111,38940,1
4025,39140,0
53075,39420,0
12015,39460,0
37069,39580,0
37101,39580,0
37183,39580,0
37083,40260,0
36055,40380,0
36069,40380,0
36073,40380,0
36117,40380,0
37065,40580,0
4009,40940,0
53033,42660,1
53053,42660,1
53061,42660,1
12061,42680,1
12055,42700,0
37045,43140,0
53045,43220,0
4017,43320,0
4003,43420,0
53051,44060,0
53063,44060,0
53065,44060,0
36053,45060,0
36067,45060,0
36075,45060,0
12073,45220,0
12053,45300,1
12057,45300,1
12101,45300,1
12103,45300,1
34021,45940,0
4019,46060,0
36065,46540,0
34011,47220,0
53071,47460,0
37013,47820,0
36045,48060,0
53007,48300,0
37129,48900,0
37195,48980,0
37057,49180,0
37059,49180,0
37067,49180,0
53077,49420,0
4027,49740,0
