cbsa,cbsatitle,metropolitanmicropolitanstatis,statename
33860,"Montgomery, AL",Metropolitan Statistical Area,Alabama
19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,Alabama
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Alabama
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Alabama
11500,"Anniston-Oxford-Jacksonville, AL",Metropolitan Statistical Area,Alabama
46740,"Valley, AL",Micropolitan Statistical Area,Alabama
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Alabama
21460,"Enterprise, AL",Micropolitan Statistical Area,Alabama
22520,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,Alabama
45180,"Talladega-Sylacauga, AL",Micropolitan Statistical Area,Alabama
18980,"Cullman, AL",Micropolitan Statistical Area,Alabama
37120,"Ozark, AL",Micropolitan Statistical Area,Alabama
42820,"Selma, AL",Micropolitan Statistical Area,Alabama
33860,"Montgomery, AL",Metropolitan Statistical Area,Alabama
23460,"Gadsden, AL",Metropolitan Statistical Area,Alabama
20020,"Dothan, AL",Metropolitan Statistical Area,Alabama
46220,"Tuscaloosa, AL",Metropolitan Statistical Area,Alabama
20020,"Dothan, AL",Metropolitan Statistical Area,Alabama
20020,"Dothan, AL",Metropolitan Statistical Area,Alabama
42460,"Scottsboro, AL",Micropolitan Statistical Area,Alabama
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Alabama
22520,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,Alabama
19460,"Decatur, AL",Metropolitan Statistical Area,Alabama
12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,Alabama
26620,"Huntsville, AL",Metropolitan Statistical Area,Alabama
33860,"Montgomery, AL",Metropolitan Statistical Area,Alabama
26620,"Huntsville, AL",Metropolitan Statistical Area,Alabama
10700,"Albertville, AL",Micropolitan Statistical Area,Alabama
33660,"Mobile, AL",Metropolitan Statistical Area,Alabama
33860,"Montgomery, AL",Metropolitan Statistical Area,Alabama
19460,"Decatur, AL",Metropolitan Statistical Area,Alabama
46220,"Tuscaloosa, AL",Metropolitan Statistical Area,Alabama
45980,"Troy, AL",Micropolitan Statistical Area,Alabama
17980,"Columbus, GA-AL",Metropolitan Statistical Area,Alabama
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Alabama
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Alabama
45180,"Talladega-Sylacauga, AL",Micropolitan Statistical Area,Alabama
46220,"Tuscaloosa, AL",Metropolitan Statistical Area,Alabama
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Alabama
43420,"Sierra Vista-Douglas, AZ",Metropolitan Statistical Area,Arizona
22380,"Flagstaff, AZ",Metropolitan Statistical Area,Arizona
37740,"Payson, AZ",Micropolitan Statistical Area,Arizona
40940,"Safford, AZ",Micropolitan Statistical Area,Arizona
38060,"Phoenix-Mesa-Scottsdale, AZ",Metropolitan Statistical Area,Arizona
29420,"Lake Havasu City-Kingman, AZ",Metropolitan Statistical Area,Arizona
43320,"Show Low, AZ",Micropolitan Statistical Area,Arizona
46060,"Tucson, AZ",Metropolitan Statistical Area,Arizona
38060,"Phoenix-Mesa-Scottsdale, AZ",Metropolitan Statistical Area,Arizona
35700,"Nogales, AZ",Micropolitan Statistical Area,Arizona
39140,"Prescott, AZ",Metropolitan Statistical Area,Arizona
49740,"Yuma, AZ",Metropolitan Statistical Area,Arizona
34260,"Mountain Home, AR",Micropolitan Statistical Area,Arkansas
22220,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,Arkansas
25460,"Harrison, AR",Micropolitan Statistical Area,Arkansas
15780,"Camden, AR",Micropolitan Statistical Area,Arkansas
11660,"Arkadelphia, AR",Micropolitan Statistical Area,Arkansas
38220,"Pine Bluff, AR",Metropolitan Statistical Area,Arkansas
31620,"Magnolia, AR",Micropolitan Statistical Area,Arkansas
27860,"Jonesboro, AR",Metropolitan Statistical Area,Arkansas
22900,"Fort Smith, AR-OK",Metropolitan Statistical Area,Arkansas
32820,"Memphis, TN-MS-AR",Metropolitan Statistical Area,Arkansas
30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,Arkansas
26300,"Hot Springs, AR",Metropolitan Statistical Area,Arkansas
30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,Arkansas
37500,"Paragould, AR",Micropolitan Statistical Area,Arkansas
31680,"Malvern, AR",Micropolitan Statistical Area,Arkansas
12900,"Batesville, AR",Micropolitan Statistical Area,Arkansas
38220,"Pine Bluff, AR",Metropolitan Statistical Area,Arkansas
38220,"Pine Bluff, AR",Metropolitan Statistical Area,Arkansas
45500,"Texarkana, TX-AR",Metropolitan Statistical Area,Arkansas
30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,Arkansas
22220,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,Arkansas
45500,"Texarkana, TX-AR",Metropolitan Statistical Area,Arkansas
14180,"Blytheville, AR",Micropolitan Statistical Area,Arkansas
25460,"Harrison, AR",Micropolitan Statistical Area,Arkansas
15780,"Camden, AR",Micropolitan Statistical Area,Arkansas
30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,Arkansas
25760,"Helena-West Helena, AR",Micropolitan Statistical Area,Arkansas
27860,"Jonesboro, AR",Metropolitan Statistical Area,Arkansas
40780,"Russellville, AR",Micropolitan Statistical Area,Arkansas
30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,Arkansas
22620,"Forrest City, AR",Micropolitan Statistical Area,Arkansas
30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,Arkansas
22900,"Fort Smith, AR-OK",Metropolitan Statistical Area,Arkansas
20980,"El Dorado, AR",Micropolitan Statistical Area,Arkansas
22220,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,Arkansas
42620,"Searcy, AR",Micropolitan Statistical Area,Arkansas
40780,"Russellville, AR",Micropolitan Statistical Area,Arkansas
41860,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,California
17020,"Chico, CA",Metropolitan Statistical Area,California
41860,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,California
18860,"Crescent City, CA",Micropolitan Statistical Area,California
40900,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,California
23420,"Fresno, CA",Metropolitan Statistical Area,California
21700,"Eureka-Arcata-Fortuna, CA",Micropolitan Statistical Area,California
20940,"El Centro, CA",Metropolitan Statistical Area,California
12540,"Bakersfield, CA",Metropolitan Statistical Area,California
25260,"Hanford-Corcoran, CA",Metropolitan Statistical Area,California
17340,"Clearlake, CA",Micropolitan Statistical Area,California
45000,"Susanville, CA",Micropolitan Statistical Area,California
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,California
31460,"Madera, CA",Metropolitan Statistical Area,California
41860,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,California
